Path,Mean,StdDev,Max
middle/llama3.1_8b/with_geom_time/hit5_metrics_canva.csv,49.15,1.91,51.91
middle/llama3.1_8b/with_geom_time_cluster/hit5_metrics_canva.csv,67.51,1.55,69.68
middle/llama3.1_8b/with_geom/hit5_metrics_canva.csv,49.45,1.95,52.32
middle/llama3.1_8b/with_geom_time_best_cluster/hit5_metrics_canva.csv,47.80,2.67,51.47
middle/llama3.1_8b/base_version/hit5_metrics_canva.csv,25.30,1.30,27.41
middle/mixtral_8x7b/with_geom_time/hit5_metrics_canva.csv,52.39,1.40,53.88
middle/mixtral_8x7b/with_geom_time_cluster/hit5_metrics_canva.csv,71.38,1.45,73.72
middle/mixtral_8x7b/with_geom/hit5_metrics_canva.csv,56.57,1.66,58.30
middle/mixtral_8x7b/with_geom_time_best_cluster/hit5_metrics_canva.csv,57.11,2.03,61.02
middle/mixtral_8x7b/base_version/hit5_metrics_canva.csv,34.04,2.46,37.57
middle/baseline_heuristics/nearest/hit5_metrics_canva.csv,34.78,2.05,37.12
middle/baseline_heuristics/absolute_popular/hit5_metrics_canva.csv,29.18,1.69,32.17
middle/baseline_heuristics/absolute_popular_top_k/hit5_metrics_canva.csv,84.21,1.96,86.39
middle/baseline_heuristics/popular/hit5_metrics_canva.csv,74.61,1.91,78.09
middle/baseline_heuristics/random/hit5_metrics_canva.csv,26.03,0.33,26.33
middle/deepseek-coder_33b/with_geom_time/hit5_metrics_canva.csv,40.09,1.67,43.39
middle/deepseek-coder_33b/with_geom_time_cluster/hit5_metrics_canva.csv,60.56,3.45,64.56
middle/deepseek-coder_33b/with_geom/hit5_metrics_canva.csv,40.14,1.82,43.67
middle/deepseek-coder_33b/with_geom_time_best_cluster/hit5_metrics_canva.csv,42.81,3.32,47.41
middle/deepseek-coder_33b/base_version/hit5_metrics_canva.csv,0.52,0.08,0.67
middle/qwen2.5_14b/with_geom_time/hit5_metrics_canva.csv,61.59,1.94,63.88
middle/qwen2.5_14b/with_geom_time_cluster/hit5_metrics_canva.csv,73.81,1.38,75.32
middle/qwen2.5_14b/with_geom/hit5_metrics_canva.csv,63.97,1.73,65.68
middle/qwen2.5_14b/with_geom_time_best_cluster/hit5_metrics_canva.csv,61.29,1.92,64.45
middle/qwen2.5_14b/base_version/hit5_metrics_canva.csv,21.17,1.42,23.86
middle/mistral_7b/with_geom_time/hit5_metrics_canva.csv,52.56,2.16,55.24
middle/mistral_7b/with_geom_time_cluster/hit5_metrics_canva.csv,69.98,1.88,72.96
middle/mistral_7b/with_geom/hit5_metrics_canva.csv,57.11,2.38,59.64
middle/mistral_7b/with_geom_time_best_cluster/hit5_metrics_canva.csv,53.17,1.06,54.74
middle/mistral_7b/base_version/hit5_metrics_canva.csv,13.63,0.97,15.03
penultimate/qwen2.5_7b/with_geom_time/hit5_metrics_canva.csv,42.74,0.68,43.47
penultimate/qwen2.5_7b/with_geom_time_cluster/hit5_metrics_canva.csv,63.08,4.48,69.35
penultimate/qwen2.5_7b/with_geom/hit5_metrics_canva.csv,42.96,0.77,43.99
penultimate/qwen2.5_7b/with_geom_time_best_cluster/hit5_metrics_canva.csv,36.54,1.59,38.60
penultimate/qwen2.5_7b/base_version/hit5_metrics_canva.csv,0.39,0.09,0.53
penultimate/llama3.1_8b/with_geom_time/hit5_metrics_canva.csv,45.24,0.83,46.37
penultimate/llama3.1_8b/with_geom_time_cluster/hit5_metrics_canva.csv,58.13,2.73,60.78
penultimate/llama3.1_8b/with_geom/hit5_metrics_canva.csv,41.79,0.58,42.82
penultimate/llama3.1_8b/with_geom_time_best_cluster/hit5_metrics_canva.csv,42.35,1.13,43.82
penultimate/llama3.1_8b/base_version/hit5_metrics_canva.csv,27.23,1.01,28.88
penultimate/mixtral_8x7b/with_geom_time/hit5_metrics_canva.csv,45.57,1.26,47.35
penultimate/mixtral_8x7b/with_geom_time_cluster/hit5_metrics_canva.csv,60.21,4.25,65.43
penultimate/mixtral_8x7b/with_geom/hit5_metrics_canva.csv,48.06,1.31,50.37
penultimate/mixtral_8x7b/with_geom_time_best_cluster/hit5_metrics_canva.csv,47.09,3.10,51.66
penultimate/mixtral_8x7b/base_version/hit5_metrics_canva.csv,34.88,1.10,36.47
penultimate/baseline_heuristics/nearest/hit5_metrics_canva.csv,29.68,0.83,30.32
penultimate/baseline_heuristics/absolute_popular/hit5_metrics_canva.csv,32.60,2.25,38.35
penultimate/baseline_heuristics/absolute_popular_top_k/hit5_metrics_canva.csv,85.15,1.16,86.45
penultimate/baseline_heuristics/popular/hit5_metrics_canva.csv,69.94,3.75,73.53
penultimate/baseline_heuristics/random/hit5_metrics_canva.csv,28.03,0.47,28.49
penultimate/deepseek-coder_33b/with_geom_time/hit5_metrics_canva.csv,35.31,0.53,36.01
penultimate/deepseek-coder_33b/with_geom_time_cluster/hit5_metrics_canva.csv,51.94,4.81,57.19
penultimate/deepseek-coder_33b/with_geom/hit5_metrics_canva.csv,34.97,0.48,35.65
penultimate/deepseek-coder_33b/with_geom_time_best_cluster/hit5_metrics_canva.csv,37.01,1.33,38.84
penultimate/deepseek-coder_33b/base_version/hit5_metrics_canva.csv,27.65,10.15,34.35
penultimate/qwen2.5_14b/with_geom_time/hit5_metrics_canva.csv,52.02,1.60,53.87
penultimate/qwen2.5_14b/with_geom_time_cluster/hit5_metrics_canva.csv,65.62,2.79,69.34
penultimate/qwen2.5_14b/with_geom/hit5_metrics_canva.csv,54.09,1.54,56.33
penultimate/qwen2.5_14b/with_geom_time_best_cluster/hit5_metrics_canva.csv,50.46,2.94,54.96
penultimate/qwen2.5_14b/base_version/hit5_metrics_canva.csv,30.60,2.06,34.51
penultimate/mistral_7b/with_geom_time/hit5_metrics_canva.csv,41.31,1.61,43.22
penultimate/mistral_7b/with_geom_time_cluster/hit5_metrics_canva.csv,65.51,2.97,69.39
penultimate/mistral_7b/with_geom/hit5_metrics_canva.csv,46.02,1.51,47.53
penultimate/mistral_7b/with_geom_time_best_cluster/hit5_metrics_canva.csv,44.08,1.63,46.54
penultimate/mistral_7b/base_version/hit5_metrics_canva.csv,21.96,1.37,23.79
middle/qwen2.5_7b/with_geom_time/coverage_metrics_canva.csv,95.45,0.00,95.45
middle/qwen2.5_7b/with_geom_time_cluster/coverage_metrics_canva.csv,96.36,1.92,100.00
middle/qwen2.5_7b/with_geom/coverage_metrics_canva.csv,95.45,0.00,95.45
middle/qwen2.5_7b/with_geom_time_best_cluster/coverage_metrics_canva.csv,96.36,1.92,100.00
middle/qwen2.5_7b/base_version/coverage_metrics_canva.csv,47.27,8.63,63.64
middle/llama3.1_8b/with_geom_time/coverage_metrics_canva.csv,96.36,1.92,100.00
middle/llama3.1_8b/with_geom_time_cluster/coverage_metrics_canva.csv,96.36,1.92,100.00
middle/llama3.1_8b/with_geom/coverage_metrics_canva.csv,95.45,0.00,95.45
middle/llama3.1_8b/with_geom_time_best_cluster/coverage_metrics_canva.csv,96.36,1.92,100.00
middle/llama3.1_8b/base_version/coverage_metrics_canva.csv,61.82,5.75,68.18
middle/mixtral_8x7b/with_geom_time/coverage_metrics_canva.csv,95.24,0.00,95.24
middle/mixtral_8x7b/with_geom_time_cluster/coverage_metrics_canva.csv,96.36,1.92,100.00
middle/mixtral_8x7b/with_geom/coverage_metrics_canva.csv,95.45,0.00,95.45
middle/mixtral_8x7b/with_geom_time_best_cluster/coverage_metrics_canva.csv,95.91,1.44,100.00
middle/mixtral_8x7b/base_version/coverage_metrics_canva.csv,56.57,8.54,68.18
middle/deepseek-coder_33b/with_geom_time/coverage_metrics_canva.csv,96.36,1.92,100.00
middle/deepseek-coder_33b/with_geom_time_cluster/coverage_metrics_canva.csv,96.36,1.92,100.00
middle/deepseek-coder_33b/with_geom/coverage_metrics_canva.csv,96.46,2.01,100.00
middle/deepseek-coder_33b/with_geom_time_best_cluster/coverage_metrics_canva.csv,96.82,2.20,100.00
middle/deepseek-coder_33b/base_version/coverage_metrics_canva.csv,70.45,11.39,86.36
middle/qwen2.5_14b/with_geom_time/coverage_metrics_canva.csv,95.45,0.00,95.45
middle/qwen2.5_14b/with_geom_time_cluster/coverage_metrics_canva.csv,96.36,1.92,100.00
middle/qwen2.5_14b/with_geom/coverage_metrics_canva.csv,95.24,0.00,95.24
middle/qwen2.5_14b/with_geom_time_best_cluster/coverage_metrics_canva.csv,95.91,1.44,100.00
middle/qwen2.5_14b/base_version/coverage_metrics_canva.csv,40.91,5.25,50.00
middle/mistral_7b/with_geom_time/coverage_metrics_canva.csv,96.82,2.20,100.00
middle/mistral_7b/with_geom_time_cluster/coverage_metrics_canva.csv,96.36,1.92,100.00
middle/mistral_7b/with_geom/coverage_metrics_canva.csv,96.82,2.20,100.00
middle/mistral_7b/with_geom_time_best_cluster/coverage_metrics_canva.csv,96.36,1.92,100.00
middle/mistral_7b/base_version/coverage_metrics_canva.csv,46.36,13.35,68.18
penultimate/qwen2.5_7b/with_geom_time/coverage_metrics_canva.csv,96.36,1.92,100.00
penultimate/qwen2.5_7b/with_geom_time_cluster/coverage_metrics_canva.csv,96.36,1.92,100.00
penultimate/qwen2.5_7b/with_geom/coverage_metrics_canva.csv,95.45,0.00,95.45
penultimate/qwen2.5_7b/with_geom_time_best_cluster/coverage_metrics_canva.csv,96.36,1.92,100.00
penultimate/qwen2.5_7b/base_version/coverage_metrics_canva.csv,66.36,11.38,86.36
penultimate/llama3.1_8b/with_geom_time/coverage_metrics_canva.csv,100.00,0.00,100.00
penultimate/llama3.1_8b/with_geom_time_cluster/coverage_metrics_canva.csv,100.00,0.00,100.00
penultimate/llama3.1_8b/with_geom/coverage_metrics_canva.csv,96.36,1.92,100.00
penultimate/llama3.1_8b/with_geom_time_best_cluster/coverage_metrics_canva.csv,100.00,0.00,100.00
penultimate/llama3.1_8b/base_version/coverage_metrics_canva.csv,69.55,7.12,81.82
penultimate/mixtral_8x7b/with_geom_time/coverage_metrics_canva.csv,97.98,2.40,100.00
penultimate/mixtral_8x7b/with_geom_time_cluster/coverage_metrics_canva.csv,100.00,0.00,100.00
penultimate/mixtral_8x7b/with_geom/coverage_metrics_canva.csv,98.64,2.20,100.00
penultimate/mixtral_8x7b/with_geom_time_best_cluster/coverage_metrics_canva.csv,100.00,0.00,100.00
penultimate/mixtral_8x7b/base_version/coverage_metrics_canva.csv,69.19,7.11,81.82
penultimate/deepseek-coder_33b/with_geom_time/coverage_metrics_canva.csv,100.00,0.00,100.00
penultimate/deepseek-coder_33b/with_geom_time_cluster/coverage_metrics_canva.csv,99.55,1.44,100.00
penultimate/deepseek-coder_33b/with_geom/coverage_metrics_canva.csv,100.00,0.00,100.00
penultimate/deepseek-coder_33b/with_geom_time_best_cluster/coverage_metrics_canva.csv,100.00,0.00,100.00
penultimate/deepseek-coder_33b/base_version/coverage_metrics_canva.csv,57.07,18.48,95.45
penultimate/qwen2.5_14b/with_geom_time/coverage_metrics_canva.csv,98.64,2.20,100.00
penultimate/qwen2.5_14b/with_geom_time_cluster/coverage_metrics_canva.csv,98.64,2.20,100.00
penultimate/qwen2.5_14b/with_geom/coverage_metrics_canva.csv,98.64,2.20,100.00
penultimate/qwen2.5_14b/with_geom_time_best_cluster/coverage_metrics_canva.csv,98.18,2.35,100.00
penultimate/qwen2.5_14b/base_version/coverage_metrics_canva.csv,55.45,12.82,68.18
penultimate/mistral_7b/with_geom_time/coverage_metrics_canva.csv,100.00,0.00,100.00
penultimate/mistral_7b/with_geom_time_cluster/coverage_metrics_canva.csv,98.64,2.20,100.00
penultimate/mistral_7b/with_geom/coverage_metrics_canva.csv,100.00,0.00,100.00
penultimate/mistral_7b/with_geom_time_best_cluster/coverage_metrics_canva.csv,100.00,0.00,100.00
penultimate/mistral_7b/base_version/coverage_metrics_canva.csv,74.07,6.35,85.71
middle/qwen2.5_7b/with_geom_time/diversity_metrics_canva.csv,237.27,62.57,340.91
middle/qwen2.5_7b/with_geom_time_cluster/diversity_metrics_canva.csv,291.82,172.26,709.09
middle/qwen2.5_7b/with_geom/diversity_metrics_canva.csv,124.09,14.22,145.45
middle/qwen2.5_7b/with_geom_time_best_cluster/diversity_metrics_canva.csv,150.00,31.05,213.64
middle/qwen2.5_7b/base_version/diversity_metrics_canva.csv,76310.91,38371.30,147004.55
middle/llama3.1_8b/with_geom_time/diversity_metrics_canva.csv,246.82,50.76,322.73
middle/llama3.1_8b/with_geom_time_cluster/diversity_metrics_canva.csv,144.09,28.67,209.09
middle/llama3.1_8b/with_geom/diversity_metrics_canva.csv,142.27,11.94,163.64
middle/llama3.1_8b/with_geom_time_best_cluster/diversity_metrics_canva.csv,117.73,15.37,140.91
middle/llama3.1_8b/base_version/diversity_metrics_canva.csv,2330.91,799.20,3413.64
middle/mixtral_8x7b/with_geom_time/diversity_metrics_canva.csv,169.64,23.87,219.05
middle/mixtral_8x7b/with_geom_time_cluster/diversity_metrics_canva.csv,155.00,35.04,231.82
middle/mixtral_8x7b/with_geom/diversity_metrics_canva.csv,181.31,35.97,227.27
middle/mixtral_8x7b/with_geom_time_best_cluster/diversity_metrics_canva.csv,225.45,81.60,377.27
middle/mixtral_8x7b/base_version/diversity_metrics_canva.csv,1000.50,308.66,1472.73
middle/deepseek-coder_33b/with_geom_time/diversity_metrics_canva.csv,105.46,5.59,113.64
middle/deepseek-coder_33b/with_geom_time_cluster/diversity_metrics_canva.csv,182.73,38.08,240.91
middle/deepseek-coder_33b/with_geom/diversity_metrics_canva.csv,96.97,2.27,100.00
middle/deepseek-coder_33b/with_geom_time_best_cluster/diversity_metrics_canva.csv,110.91,7.48,122.73
middle/deepseek-coder_33b/base_version/diversity_metrics_canva.csv,3181.82,777.85,4340.91
middle/qwen2.5_14b/with_geom_time/diversity_metrics_canva.csv,707.73,180.29,981.82
middle/qwen2.5_14b/with_geom_time_cluster/diversity_metrics_canva.csv,758.18,238.80,1309.09
middle/qwen2.5_14b/with_geom/diversity_metrics_canva.csv,340.74,109.35,490.48
middle/qwen2.5_14b/with_geom_time_best_cluster/diversity_metrics_canva.csv,845.91,423.83,1527.27
middle/qwen2.5_14b/base_version/diversity_metrics_canva.csv,1587.73,481.51,2386.36
middle/mistral_7b/with_geom_time/diversity_metrics_canva.csv,1388.18,468.14,2040.91
middle/mistral_7b/with_geom_time_cluster/diversity_metrics_canva.csv,1516.82,878.17,3454.55
middle/mistral_7b/with_geom/diversity_metrics_canva.csv,651.82,107.53,790.91
middle/mistral_7b/with_geom_time_best_cluster/diversity_metrics_canva.csv,1640.91,732.14,2750.00
middle/mistral_7b/base_version/diversity_metrics_canva.csv,624.09,143.37,795.45
penultimate/qwen2.5_7b/with_geom_time/diversity_metrics_canva.csv,241.82,59.99,309.09
penultimate/qwen2.5_7b/with_geom_time_cluster/diversity_metrics_canva.csv,279.54,149.27,645.45
penultimate/qwen2.5_7b/with_geom/diversity_metrics_canva.csv,127.73,16.24,150.00
penultimate/qwen2.5_7b/with_geom_time_best_cluster/diversity_metrics_canva.csv,155.00,30.34,209.09
penultimate/qwen2.5_7b/base_version/diversity_metrics_canva.csv,78264.09,33580.84,108081.82
penultimate/llama3.1_8b/with_geom_time/diversity_metrics_canva.csv,266.82,63.28,354.55
penultimate/llama3.1_8b/with_geom_time_cluster/diversity_metrics_canva.csv,179.54,61.56,331.82
penultimate/llama3.1_8b/with_geom/diversity_metrics_canva.csv,636.36,228.40,1000.00
penultimate/llama3.1_8b/with_geom_time_best_cluster/diversity_metrics_canva.csv,132.27,35.17,204.55
penultimate/llama3.1_8b/base_version/diversity_metrics_canva.csv,29255.45,14046.53,46972.73
penultimate/mixtral_8x7b/with_geom_time/diversity_metrics_canva.csv,161.61,21.09,190.91
penultimate/mixtral_8x7b/with_geom_time_cluster/diversity_metrics_canva.csv,192.27,69.80,354.55
penultimate/mixtral_8x7b/with_geom/diversity_metrics_canva.csv,170.91,21.01,200.00
penultimate/mixtral_8x7b/with_geom_time_best_cluster/diversity_metrics_canva.csv,237.73,78.35,381.82
penultimate/mixtral_8x7b/base_version/diversity_metrics_canva.csv,2065.66,782.27,3368.18
penultimate/deepseek-coder_33b/with_geom_time/diversity_metrics_canva.csv,105.46,4.18,113.64
penultimate/deepseek-coder_33b/with_geom_time_cluster/diversity_metrics_canva.csv,197.27,42.27,240.91
penultimate/deepseek-coder_33b/with_geom/diversity_metrics_canva.csv,100.51,1.52,104.55
penultimate/deepseek-coder_33b/with_geom_time_best_cluster/diversity_metrics_canva.csv,130.45,17.15,168.18
penultimate/deepseek-coder_33b/base_version/diversity_metrics_canva.csv,2393.94,899.42,3586.36
penultimate/qwen2.5_14b/with_geom_time/diversity_metrics_canva.csv,891.82,259.49,1313.64
penultimate/qwen2.5_14b/with_geom_time_cluster/diversity_metrics_canva.csv,952.73,321.69,1640.91
penultimate/qwen2.5_14b/with_geom/diversity_metrics_canva.csv,422.27,121.22,568.18
penultimate/qwen2.5_14b/with_geom_time_best_cluster/diversity_metrics_canva.csv,925.46,435.71,1722.73
penultimate/qwen2.5_14b/base_version/diversity_metrics_canva.csv,2288.64,701.58,3409.09
penultimate/mistral_7b/with_geom_time/diversity_metrics_canva.csv,2182.27,769.97,3440.91
penultimate/mistral_7b/with_geom_time_cluster/diversity_metrics_canva.csv,1095.91,552.28,2445.45
penultimate/mistral_7b/with_geom/diversity_metrics_canva.csv,1056.08,316.91,1566.67
penultimate/mistral_7b/with_geom_time_best_cluster/diversity_metrics_canva.csv,2435.00,1079.12,4177.27
penultimate/mistral_7b/base_version/diversity_metrics_canva.csv,868.78,191.74,1152.38
middle/qwen2.5_7b/with_geom_time/mrr_metrics_canva.csv,28.66,1.78,30.84
middle/qwen2.5_7b/with_geom_time_cluster/mrr_metrics_canva.csv,46.96,1.08,49.62
middle/qwen2.5_7b/with_geom/mrr_metrics_canva.csv,28.53,1.91,30.90
middle/qwen2.5_7b/with_geom_time_best_cluster/mrr_metrics_canva.csv,21.81,2.83,25.76
middle/qwen2.5_7b/base_version/mrr_metrics_canva.csv,0.34,0.06,0.46
middle/llama3.1_8b/with_geom_time/mrr_metrics_canva.csv,25.13,1.56,27.07
middle/llama3.1_8b/with_geom_time_cluster/mrr_metrics_canva.csv,44.08,2.20,47.34
middle/llama3.1_8b/with_geom/mrr_metrics_canva.csv,23.95,1.53,26.28
middle/llama3.1_8b/with_geom_time_best_cluster/mrr_metrics_canva.csv,24.48,2.62,28.04
middle/llama3.1_8b/base_version/mrr_metrics_canva.csv,13.65,0.87,15.31
middle/mixtral_8x7b/with_geom_time/mrr_metrics_canva.csv,20.78,0.75,21.82
middle/mixtral_8x7b/with_geom_time_cluster/mrr_metrics_canva.csv,48.53,1.64,51.78
middle/mixtral_8x7b/with_geom/mrr_metrics_canva.csv,28.06,1.30,29.62
middle/mixtral_8x7b/with_geom_time_best_cluster/mrr_metrics_canva.csv,29.41,4.57,35.17
middle/mixtral_8x7b/base_version/mrr_metrics_canva.csv,14.19,1.02,15.71
middle/deepseek-coder_33b/with_geom_time/mrr_metrics_canva.csv,15.34,0.89,16.86
middle/deepseek-coder_33b/with_geom_time_cluster/mrr_metrics_canva.csv,39.62,2.73,43.12
middle/deepseek-coder_33b/with_geom/mrr_metrics_canva.csv,15.50,1.12,17.50
middle/deepseek-coder_33b/with_geom_time_best_cluster/mrr_metrics_canva.csv,17.12,0.87,18.51
middle/deepseek-coder_33b/base_version/mrr_metrics_canva.csv,0.17,0.03,0.22
middle/qwen2.5_14b/with_geom_time/mrr_metrics_canva.csv,36.92,2.51,39.39
middle/qwen2.5_14b/with_geom_time_cluster/mrr_metrics_canva.csv,48.59,1.85,51.70
middle/qwen2.5_14b/with_geom/mrr_metrics_canva.csv,38.21,2.69,40.52
middle/qwen2.5_14b/with_geom_time_best_cluster/mrr_metrics_canva.csv,31.64,5.13,37.67
middle/qwen2.5_14b/base_version/mrr_metrics_canva.csv,6.33,0.42,7.27
middle/mistral_7b/with_geom_time/mrr_metrics_canva.csv,28.10,2.09,30.98
middle/mistral_7b/with_geom_time_cluster/mrr_metrics_canva.csv,45.05,1.51,46.84
middle/mistral_7b/with_geom/mrr_metrics_canva.csv,35.72,2.42,38.42
middle/mistral_7b/with_geom_time_best_cluster/mrr_metrics_canva.csv,29.77,1.97,32.83
middle/mistral_7b/base_version/mrr_metrics_canva.csv,5.01,0.37,5.60
penultimate/qwen2.5_7b/with_geom_time/mrr_metrics_canva.csv,23.30,0.86,24.20
penultimate/qwen2.5_7b/with_geom_time_cluster/mrr_metrics_canva.csv,40.27,3.70,44.58
penultimate/qwen2.5_7b/with_geom/mrr_metrics_canva.csv,22.91,0.74,24.02
penultimate/qwen2.5_7b/with_geom_time_best_cluster/mrr_metrics_canva.csv,17.91,1.73,20.92
penultimate/qwen2.5_7b/base_version/mrr_metrics_canva.csv,0.16,0.04,0.24
penultimate/llama3.1_8b/with_geom_time/mrr_metrics_canva.csv,24.07,0.38,24.61
